X,Y,OBJECTID_1,UniqueID,ProjectName,AwardDateYearFunded,City,SiteAddress,County,ParcelTaxID,Latitude,Longitude,FundingSource,TotalBrownfieldIncentives,F381ApprovedAmount,GrantAwardAmount,LoanAwardAmount,WaterfrontAwardAmount,BrownfieldSiteAssessment,StateFundedCleanupAmountSpent,Acreage,DevelopmentType
-83.127357,42.3987490000001,272,2199208001,Enterprise Oil,1992/08/17 00:00:00+00,Detroit,14445 Linwood Ave.,Wayne,<null> ,42.398749,-83.127357,<null> ,0,,,,0,Yes,0,3.1,Parking Lot
-88.4522219999999,47.2491670000001,273,2200705014,Erkkila Building,2007/05/08 00:00:00+00,Calumet,426 Fifth Street,Houghton,<null> ,47.249167,-88.452222,<null> ,0,,,,0,Yes,0,0.7,Habitat for Humanity
-87.044951,45.7431290000001,274,2200004009,Escanaba Mun Docks WF Development,2000/04/13 00:00:00+00,Escanaba,17 Water Plant Rd,DELTA,<null> ,45.743129,-87.044951,WRG,440000,,,,440000,,0,0,Park/Recreational/Commercial
-84.516493,42.641845,275,2201806001,Esker Square,2018/06/05 00:00:00+00,Holt,2022 Cedar Street,Ingham,33-25-05-14-377-008,42.641845,-84.516493,RPF,249000,,"$249,000 ",,,,,2.4,Mixed Use
-85.629722,41.9355560000001,276,2200908019,Essex Wire,2009/08/03 00:00:00+00,Three Rivers,618 Fourth Street,St. Joseph,<null> ,41.935556,-85.629722,<null> ,0,,,,0,Yes,0,20,Commercial
-84.1643109999999,45.009713,277,2199506006,Essex Wire/Bldg.,1995/06/01 00:00:00+00,Montmorency,11656 Reiman Rd,MONTMORENCY,<null> ,45.009713,-84.164311,SRG,390000,,"$390,000 ",,0,,0,0,Industrial
-83.281179,42.349698,278,2200005035,EZ Mini Storage Project,2000/05/26 00:00:00+00,Dearborn Heights,24579 Ann Arbor Trail,Wayne,33-003-99-0008,42.349698,-83.281179,381,130358,"$130,358 ",,,0,,0,4.55,M-1 Light industrial
-84.55538,43.0061830000001,279,2201202002,F.C. Mason Company Expansion,2012/02/10 00:00:00+00,Saint Johns,"310 E. Steel Street, St. Johns MI",CLINTON,<null> ,43.006183,-84.55538,SRG,1000000,,"$1,000,000 ",,0,,0,10.88,Industrial
-86.2799019999999,42.3932950000001,280,2201505012,Factory Condominiums,2015/05/27 00:00:00+00,South Haven,125 Elkenburg Street,Van Buren,"80-53-077-001-00, -078-01-00 thru -078-010-00",42.393295,-86.279902,381,160000,"$160,000 ",,,0,,0,2.14,PUD
-83.110654,42.315345,281,2200405006,Family Dollar Stores of Michigan,2004/05/17 00:00:00+00,Detroit,6365 W. Vernor (5 parcels),Wayne,80-54-601-001-02,42.315345,-83.110654,381,50234,"$50,234 ",,,0,,0,0.61,B-4 General Business
-83.0491299999999,42.3544000000001,282,2200408016,Far East Side Redevelopment,2004/08/31 00:00:00+00,Detroit,"1,200 acres in the Chalmers Heights neighborhood,2124 Springle,2174 Gray,2203 Gray",WAYNE,<null> ,42.3544,-83.04913,SAF,600000,,"$600,000 ",,0,,0,1200,Commercial/Residential
-86.425533,43.9551970000001,283,2200904009,"Fenceline Enterprises, LLC",2009/04/08 00:00:00+00,Pere Marquette Township,5851 W. US-10,Mason,010-640-001-018-00,43.955197,-86.425533,381,112281,"$112,281 ",,,0,,0,1,Industrial
-84.439501,42.252278,284,2201506013,Fern Ventures Redevelopment,2015/06/02 00:00:00+00,Blackman Township,1927 Wildwood Ave and 1999 Wildwood Ave,Jackson,(1927) 000-08-33-301-002-01 (1999) 000-08-33-301-08,42.252278,-84.439501,381,1150625,"$1,150,625 ",,,0,,0,18.42,12 - Heavy Industrial
-83.202634,42.104202,285,2201507020,Ferrous CAL Co.,2015/07/16 00:00:00+00,Gibraltar,"28000 West Jefferson, Gibraltar",WAYNE,36-005-99-0001-702,42.104202,-83.202634,"BRG,BRL,RRL",2245000,,"$245,000 ","$2,000,000 ",0,,0,0,Industrial
-83.889444,43.602222,286,2200507019,First and Water Streets,2005/07/20 00:00:00+00,Bay City,1100 & 1200 blocks of Water St.,Bay,<null> ,43.602222,-83.889444,<null> ,0,,,,0,Yes,0,1.2,Utilities upgrade
-85.578611,42.2986110000001,287,2199603002,Fisher Graff,1996/03/04 00:00:00+00,Kalamazoo,721 Porter St.,Kalamazoo,<null> ,42.298611,-85.578611,<null> ,0,,,,0,Yes,0,1.65,Small manufacturing
-85.579458,42.298546,288,2199804009,Fisher-Graff/Alumilite,1998/04/17 00:00:00+00,Kalamazoo,315 East North Street & 314 East Frank Street,Kalamazoo,<null> ,42.298546,-85.579458,381,48759,"$48,759 ",,,0,,0,2.1,<null> 
-83.948249,43.43523,289,220190329,Fleck's Fresh Mart ,2019/04/17 00:00:00+00,Saginaw,2016 North Michigan Avenue,Saginaw,14-0473-00100,43.43523,-83.948249,RMG,253000,,"$253,000 ",,,,,1.78,Commercial 
-87.072529,45.773154,290,2201306009,Fleet Maintenance LLC,2013/06/04 00:00:00+00,Escanaba,1700 20th Avenue North,Delta,420-2918-300-032,45.773154,-87.072529,381,567000,"$567,000 ",,,0,,0,4.78,Heavy Industrial
-87.072529,45.773154,291,2201402005,"Fleet Maintenance, LLC 381 WP & Loan",2014/02/13 00:00:00+00,Escanaba,1700 20th Ave. North,DELTA,420-2918-300-032,45.773154,-87.072529,BRL,450000,,,"$450,000 ",0,,0,4.78,Industrial
-83.6998399999999,43.0323700000001,292,2200408017,Flint Areawide,2004/08/31 00:00:00+00,Flint,<null> ,GENESEE,<null> ,43.03237,-83.69984,SAF,359431,,"$359,431 ",,0,,0,0,Not Required
-83.184292,42.3763700000001,293,220190321,FMR AMC Headquarters Redevelopment - Detroit ,2019/01/29 00:00:00+00,Detroit, 14250 Plymouth Road ,Wayne,,42.37637,-83.184292,RPG,250000,,"$250,000 ",,,,,31.5,Industrial
-86.2104419999999,42.6399890000001,294,2201605007,FMR Chase Manufactering Plant - Douglas Amenment ,2018/03/23 00:00:00+00,Douglas,200 Blue Star Highway,Allegan,,42.639989,-86.210442,CMI,15000,"$15,000 ",,,,,,7.2,
-85.5783,42.2716831500001,295,2201709830,fmr Performance Paper mill (Bryant St),2017/09/22 00:00:00+00,Kalamazoo,400 Bryant Street and Portions of 315 and 333 Alcott Street,Kalamazoo,06-27-212-002,42.27168315,-85.5783,381,170047,"$170,047.00 ",,,,,,5.9,
-84.65207,42.64385,296,2201812002,FMR Ramonts Body Shop,2018/12/12 00:00:00+00,Dimondale,109 West Jefferson Street,Eaton,081-000-615-120-000,42.64385,-84.65207,RPG,47600,,"$47,600 ",,,,,0.41,Commercial
-85.587523,43.0231230000001,297,220190330,FMR Sunshine Church 381 WP ,2019/11/18 00:00:00+00,Grand Rapids ,3300 East Beltline Road,Kent ,,43.023123,-85.587523,381,936820,"$936,820 ",,,,,,,
-83.1147809999999,42.401758,298,2200704007,Focus: HOPE Revitalization Project,2007/04/04 00:00:00+00,Detroit,Oakman-Woodrow Wilson Streets,Wayne,142 parcels,42.401758,-83.114781,381,75575,"$75,575 ",,,0,,0,0,"PD-Planned Development, residential, industrial and commercial"
-83.536399,42.499823,299,220190322,Ford Wixom 381 WP ,2019/02/25 00:00:00+00,Wixom , 29311 Wixom Road ,Oakland,"96-22-07-200-012	",42.499823,-83.536399,381,8758213,"$8,758,213 ",,,,,,,
-83.048261,42.361435,300,2200209021,Forest Park Redevelopment,2002/09/19 00:00:00+00,Detroit,Warren & Russell,Wayne,<null> ,42.361435,-83.048261,381,1144000,"$1,144,000 ",,,0,,0,17.5,Planned Development
-83.674067,41.959194,301,2200503004,Former 16085 Tecumseh Road,2005/03/23 00:00:00+00,Dundee,Southwest Corner of M-50 and U.S. 23,Monroe,58-42-040-710-10,41.959194,-83.674067,381,140032,"$140,032 ",,,0,,0,2.73,B-4 Interchange Business District
-84.406642,42.2552420000001,302,2201108013,Former Acme Site,2011/08/26 00:00:00+00,Jackson,Corner of W Ganson St. and N Mechanic St,Jackson,<null> ,42.255242,-84.406642,<null> ,0,,,,0,Yes,0,2.25,Parking
-86.658889,46.413889,303,2200306009,Former Alger Co. Rd. Comm.,2003/06/09 00:00:00+00,Munising,423 W. Munising Ave. (M-28),Alger,<null> ,46.413889,-86.658889,<null> ,0,,,,0,Yes,0,0.6,Commercial
-86.2444159999999,43.2019550000001,304,2199607028,Former Ashendorf Auto Parts,1996/07/16 00:00:00+00,Muskegon Heights,15 E Center St,MUSKEGON,<null> ,43.201955,-86.244416,SAF,10051,,"$10,051 ",,0,,0,0,No Development
-86.244996,43.205361,305,2199607029,Former Ashendorf Service Station,1996/07/16 00:00:00+00,Muskegon Heights,2545 Peck St,MUSKEGON,<null> ,43.205361,-86.244996,SAF,75000,,"$75,000 ",,0,,0,0,No Development
-85.2155059999999,42.3190670000001,306,2200506014,Former Baker Oil Site,2005/06/02 00:00:00+00,Springfield,1583 W. Dickman Road,Calhoun,13-54-150-004-00,42.319067,-85.215506,381,300000,"$300,000 ",,,0,,0,1.7,Light Industrial (I-1)
-87.0707399999999,45.7745400000001,307,2199607030,Former Bay De Noc Oil,1996/07/16 00:00:00+00,Escanaba,end of Power Plant Road (Wells Twp) ,DELTA,<null> ,45.77454,-87.07074,SAF,110000,,"$110,000 ",,0,,0,0,Commercial
-85.006944,45.214167,308,2200010046,Former Boyne River Dump,2000/10/11 00:00:00+00,Boyne City,SE corner Spring/Jefferson Sts.,Charlevoix,<null> ,45.214167,-85.006944,<null> ,0,,,,0,Yes,0,6,Interp. Park/trails
-84.532156,42.7397710000001,309,2200308018,Former Boys Training School Site,2003/08/26 00:00:00+00,Lansing,"East Saginaw Street, Worthington Dr, Nantucket Drive",Ingham,33-01-01-15-126-280,42.739771,-84.532156,381,630442,"$630,442 ",,,0,,0,24.7,B-Residential Single Family
-84.64885077,43.38043824,310,220190340,Former Coal Yard Facility,,Alma,900 Michigan Avenue,Gratiot,51-343-507-15,43.38043824,-84.64885077,RMG,40000,,"$40,000 ",,,,,0.32,Preparation for Redevelopment
-83.2505,42.26003,311,2199911057,Former Conslidated Lumber Site ,1999/11/15 00:00:00+00,Taylor,6750 Monroe St,Wayne,"82-62-228-99-0020-701,82-60-008-99-0020-702",42.26003,-83.2505,SRG,969958,,"$969,958 ",,0,,0,30.27,Industrial
-83.370732,41.899349,312,2200508023,Former Consolidated Packaging Corporation,2005/08/26 00:00:00+00,Monroe,East Front Street (11 acres - Southwest Corner Fill Area and the South Fill Area),Monroe,58-55-49-01497-000,41.899349,-83.370732,381,3483875,"$3,483,875 ",,,0,,0,11,Industrial
-83.881389,43.3577780000001,313,2200504010,Former Creamery-Bidgeport,2005/04/29 00:00:00+00,Bridgeport,4438 Williamson Rd.,Saginaw,<null> ,43.357778,-83.881389,<null> ,0,,,,0,Yes,0,0.66,Park/Parking
-85.574054,42.3315720000001,314,2200606017,Former Crown Vantage,2006/06/07 00:00:00+00,Parchment,100 Island Ave.,Kalamazoo,<null> ,42.331572,-85.574054,<null> ,0,,,,0,Yes,0,35,Res./Comm.
-84.548457,42.7480140000001,315,2200704011,Former Dard Property,2007/04/27 00:00:00+00,Lansing,1213 Center Street,Ingham,33-01-01-09-257-193,42.748014,-84.548457,381,184882,"$184,882 ",,,0,,0,0.86,Light Industrial
-83.311944,42.2900000000001,316,2200510027,Former DiMattia Property,2005/10/28 00:00:00+00,Inkster,2920 Inkster Rd.,Wayne,<null> ,42.29,-83.311944,<null> ,0,,,,0,Yes,0,14,Comm./Retail/Lt. Ind
-85.5761639999999,42.270702,317,2199604055,Former Eaton Corp.,1996/04/23 00:00:00+00,Kalamazoo Township,401 E. Alcott Street,KALAMAZOO,<null> ,42.270702,-85.576164,SRG,322805,,"$322,805 ",,0,,0,48.5,Industrial
-83.00513,42.45505,318,2199702007,"Former Equipment  Manufacturing,  Inc.",1997/02/13 00:00:00+00,Warren,21550 Hoover Rd,MACOMB,<null> ,42.45505,-83.00513,SRG,1400000,,"$1,400,000 ",,0,,0,18,Commercial
-83.835639,43.620032,319,2200002054,Former Essexville Landfill,2000/01/10 00:00:00+00,Essexville,Jarman St and Pine St,Bay,<null> ,43.620032,-83.835639,RRL,112465,,,"$112,465 ",0,,0,0,Commercial
-83.613889,42.2497220000001,320,2200005031,Former Farm Bureau,2000/05/17 00:00:00+00,Ypsilanti,2 W. Forest St.,Washtenaw,<null> ,42.249722,-83.613889,<null> ,0,,,,0,Yes,0,1.23,Small commercial
-83.4339879999999,45.0679010000001,321,2200108037,Former Fletcher Paper,2001/08/10 00:00:00+00,Alpena,500 West Fletcher Street,ALPENA,092-297-000-133-00,45.067901,-83.433988,SAF,264500,,"$264,500 ",,0,,0,17,Industrial
-88.0855559999999,45.801111,322,2200409034,Former Ford Stack Site,2004/09/03 00:00:00+00,Kingsford,455 N. Balsam St.,Dickinson,<null> ,45.801111,-88.085556,<null> ,0,,,,0,Yes,0,0.5,Commercial/Industrial
-85.538898,42.1171210000001,323,2201405010,Former Fox River Paper Mill,2014/05/09 00:00:00+00,Vicksburg,300 W. Highway St.,Kalamazoo,<null> ,42.117121,-85.538898,<null> ,0,,,,0,Yes,0,25.44,Industrial
-83.31873,42.2915800000001,324,2199708020,Former Gabbert Oil Facility (Inkster),1997/08/11 00:00:00+00,Inkster,2927 Middlebelt Rd,WAYNE,<null> ,42.29158,-83.31873,SRG,50000,,"$50,000 ",,0,,0,1.2,Industrial
-83.4014789999999,43.485373,325,2199812032,Former Gagetown Gas and Oil,1998/12/08 00:00:00+00,Caro,604 S. State Street,Tuscola,<null> ,43.485373,-83.401479,RRL,50000,,,"$50,000 ",0,,0,0,Commercial
-83.931111,44.1922220000001,326,2199703011,Former Gas Sta-Prescott,1997/03/14 00:00:00+00,Prescott,201 N Washington,Ogemaw,<null> ,44.192222,-83.931111,<null> ,0,,,,0,Yes,0,0.33,Medical clinic
-85.67394,42.8953050000001,327,2201106007,Former GM Grand Rapids Metal Plant - 36th Street,2011/06/17 00:00:00+00,Wyoming,"300 36th Street SW; 301 36th Street SW; 229 36th Street SW; 3838 Clay Avenue SW",Kent,"41-14-13-455-049; 41-17-24-201-007; 41-17-13-455-050; 41-17-24-178-007",42.895305,-85.67394,381,2129963,"$2,129,963 ",,,0,,0,87.14,<null> 
-85.680467,43.002015,328,2200003004,Former Grand Rapids Die Cast (City of Walker),2000/03/10 00:00:00+00,Walker,2125 Turner N.W.,KENT,41-13-12-376-003,43.002015,-85.680467,"SRG, RRL",700000,,"$405,000 ","$295,000 ",0,,0,0,Industrial
-83.7402739999999,43.3240480000001,329,2200004010,Former Heileman Brewery (City of Frankenmuth),2000/04/13 00:00:00+00,Frankenmuth,907 S Main St,SAGINAW,<null> ,43.324048,-83.740274,WRG,2759000,,,,2759000,,0,0,Commercial
-86.244391,43.196964,330,2199607031,Former Heritage Hospital,1996/07/16 00:00:00+00,Muskegon Heights,3098 Peck St,MUSKEGON,<null> ,43.196964,-86.244391,SAF,55000,,"$55,000 ",,0,,0,0,Residential
-83.829444,45.427222,331,2200006039,Former IceHouse-Rogers City,2000/06/26 00:00:00+00,Rogers City,Linden St between Lakeview Dr and Birchwood St,Presque Isle,<null> ,45.427222,-83.829444,<null> ,0,,,,0,Yes,0,0.71,Residential/comm.
-83.117801,42.4601640000001,332,2200310032,Former ITW Woodworth Manufacturing Site,2003/10/17 00:00:00+00,Ferndale,1300 East Nine Mile Road,Oakland,24-25-34-126-001,42.460164,-83.117801,381,11236,"$11,236 ",,,0,,0,1.7,Manufacturing (M-2)
-82.931111,43.4575,333,2200907016,Former Juip property,2009/07/10 00:00:00+00,Sandusky,1353 Ubly Rd.,Sanilac,<null> ,43.4575,-82.931111,<null> ,0,,,,0,Yes,0,1,Residential
-86.24792,43.2027200000001,334,2199607032,Former Laboratory Furniture,1996/07/16 00:00:00+00,Muskegon Heights,150 W Broadway Ave,MUSKEGON,<null> ,43.20272,-86.24792,SAF,37000,,"$37,000 ",,0,,0,0,No Development
-87.888611,45.7852780000001,335,2200409033,Former Lake School,2004/09/02 00:00:00+00,Norway,1927 School St. (6th),Dickinson,<null> ,45.785278,-87.888611,<null> ,0,,,,0,Yes,0,2.3,Commercial
-82.9628089999999,42.3590620000001,336,2200605016,Former Laro Coal Site (Morgan Waterfront Estates),2006/05/24 00:00:00+00,Detroit,Freud between Lycaste & St. Jean,Wayne,"Ward 21, Item Numbers 000059, 000060, 043739-43, 045240, 045241-6, 045459",42.359062,-82.962809,381,3406938,"$3,406,938 ",,,0,,0,44,Planned Unit Development w/residential
-85.757143,45.020972,337,2201606017,Former Leelanau County Complex,2016/06/03 00:00:00+00,Leland,Ceder and Grand,Leelanau,"009-00-018-00, 009-009-017-00, 009-009-020-00, 009-580-108-00, 009-580-107-00, 009-009-019-00, 009-580-109-00, 009-009-016-00, 009-009-010-10, 009-009-010-00, 009-580-201-00, 009-009-022-00",45.020972,-85.757143,381,480142,"$480,142 ",,,0,,0,2.11,Residential
-86.1095579999999,42.3121540000001,338,2201011016,Former LeVine's Mini-Mart,2010/11/30 00:00:00+00,Bangor,3 West Monroe Street,Van Buren,80-54-601-001-02,42.312154,-86.109558,381,120775,"$120,775 ",,,0,,0,0.67,B-I (Commercial Improvement)
-83.943141,43.4000590000001,339,2199709025,Former Lufkin Rule,1997/09/30 00:00:00+00,Saginaw,1626 Hess Ave,SAGINAW,<null> ,43.400059,-83.943141,SAF,60000,,"$60,000 ",,0,,0,0,Industrial
-83.251272,42.257501,340,2199808020,Former Marx Manufacturing Facility (City of Taylor),1998/08/13 00:00:00+00,Taylor,7000 Monroe Blvd,WAYNE,<null> ,42.257501,-83.251272,SRG,200000,,"$200,000 ",,0,,0,7.9,Commercial
-86.499722,42.0441670000001,341,2200804011,Former Mundt Property,2008/04/07 00:00:00+00,Stevensville,1947 W. Glenlord Rd.,Berrien,<null> ,42.044167,-86.499722,<null> ,0,,,,0,Yes,0,10,Recreational Park
-86.6564999999999,46.4118,342,2201808006,Former Munising DPW Garage,2018/08/31 00:00:00+00,Munising,127 W. Munising Avenue,Alger,051-256-011-00,46.4118,-86.6565,RPF,155000,,"$155,000 ",,,,,0.49,Mixed Use
-84.211399,44.2517470000001,343,2200705018,Former Osceola Refinery,2007/05/31 00:00:00+00,West Branch Township,2790 South Refinery Road,Ogemaw,65-14-032-089-00,44.251747,-84.211399,381,330000,"$330,000 ",,,0,,0,29.51,Industrial
-86.26,42.1933330000001,344,2200309030,Former Paper Mill,2003/09/29 00:00:00+00,Watervliet,711 N. Main St.,Berrien,<null> ,42.193333,-86.26,<null> ,0,,,,0,Yes,0,10.9,Residential
-84.606706,43.408151,345,2200307013,Former Pine River Auto Sales,2003/07/17 00:00:00+00,St. Louis,106 N. Main & 101 E. Washington Streets,Gratiot,"29-53-010-252-00, 29-53-010-251-00",43.408151,-84.606706,381,50000,"$50,000 ",,,0,,0,0,C-1 Central Business
-86.721851,41.7994190000001,346,2200111047,Former Police Post,2001/11/09 00:00:00+00,New Buffalo, US-12 and E. Clay St,Berrien,<null> ,41.799419,-86.721851,<null> ,0,,,,0,Yes,0,2,Comm. Dev.
-84.168056,42.991389,347,2200211033,Former Redmond Property,2002/11/27 00:00:00+00,Owosso,210-300 Monroe St.,Shiawassee,<null> ,42.991389,-84.168056,<null> ,0,,,,0,Yes,0,2.3,Comm./Res.
-83.513313,42.3955330000001,348,2201611028,Former Robert Scott Correctional Facility,2016/11/16 00:00:00+00,Northville Township,47500 Five Mile Road,Wayne,77-068-99-0001-705,42.395533,-83.513313,381,1139016,"$1,139,016 ",,,0,,0,53.39,Mixed Use
-83.401944,43.485556,349,2199711029,Former Total Gas Station,1997/11/17 00:00:00+00,Caro,604 S. State St.,Tuscola,<null> ,43.485556,-83.401944,<null> ,0,,,,0,Yes,0,0.5,Commercial
-84.765292,42.248407,350,2200205009,Former Union Steel Products Site,2002/05/06 00:00:00+00,Albion,509 N. Albion Street,Calhoun,13-51-001-910-00,42.248407,-84.765292,381,136007,"$136,007 ",,,0,,0,0,Industrial
-83.359993,42.5102410000001,351,2201702840,Former US Tool & Cutter Site (EZ Storage),2017/02/06 00:00:00+00,Farmington Hills,28975 Orchard Lake Road,Oakland,22-23-10-227-039,42.510241,-83.359993,381,416416,"$416,416.00 ",,,,,,0.96,
-86.243889,45.948611,352,2200806018,Former USCG Property,2008/06/03 00:00:00+00,Manistique,East Lakeshore Drive,Schoolcraft,<null> ,45.948611,-86.243889,<null> ,0,,,,0,Yes,0,20,Waterfront Dev.
-87.9070399999999,45.7907500000001,353,2199607033,Former Wallace Lumber,1996/07/16 00:00:00+00,Norway,Railroad Aveand Main St,DICKINSON,<null> ,45.79075,-87.90704,SAF,2000,,"$2,000 ",,0,,0,0,No Development
-84.541219,42.7464610000001,354,2200507018,Former Wohlert Building,2005/07/05 00:00:00+00,Lansing,708 E. Grand River,Ingham,"33-01-01-10-302-042, 33-01-01-10-301-014, 33-01-01-10-302-052, 33-01-01-10-302-010, 33-01-01-10-302-253, 33-01-01-10-302-030, 33-01-01-10-302-002",42.746461,-84.541219,381,18515,"$18,515 ",,,0,,0,7.56,"Heavy and light industrial, parking"
-85.638067,44.785876,355,2200712033,Former Zephyr Oil Bulk Terminal,2007/12/19 00:00:00+00,Elmwood Township,13359-13398 South West Bayshore Drive,Leelanau,"004-033-088-00, 004-033-090-01",44.785876,-85.638067,381,256076,"$256,076 ",,,0,,0,11,Commercial and residential
-83.8982359999999,43.416753,356,2200911028,Fort Saginaw Mall,2009/11/04 00:00:00+00,Buena Vista Charter Township,3235 E. Holland Avenue,Saginaw,10-12-5-29-1001-000,43.416753,-83.898236,381,38550,"$38,550 ",,,0,,0,33.6,C-Commercial
-87.396733,46.53457,357,2201701300,Founders Landing - Parcel #3b,2017/01/09 00:00:00+00,Marquette,"Parcel 3b, between ROW and waterfront",Marquette,,46.53457,-87.396733,381,651170,"$651,170.00 ",,,,,,,
-87.3919539999999,46.5397630000001,358,2201010013,Founders Landing (Project A - The Landing),2010/10/01 00:00:00+00,Marquette,South Lakeshore Boulevard,Marquette,Parcel #3 - 0510583,46.539763,-87.391954,381,239344,"$239,344 ",,,0,,0,1.49,PUD-Planned Unit Development
-83.737906,43.3360970000001,359,2201709831,Frankenmuth Credit Union Redevelopment Project,2017/09/28 00:00:00+00,Tittabawassee Township/Freeland,111 S Main Street (Freeland and Midland Roads),Saginaw,,43.336097,-83.737906,381,108520,"$108,520.00 ",,,,,,,
-83.739513,43.323761,360,2200008045,Frankenmuth River Place,2000/08/28 00:00:00+00,Frankenmuth,925 Main Street,Saginaw,03-11-6-27-0141-000,43.323761,-83.739513,381,76390,"$76,390 ",,,0,,0,11,"Commercial, B-2"
-83.055607,42.3840230000001,361,2199911058,Freezer Services Lot,1999/11/17 00:00:00+00,Hamtramck,8350 St Aubin St,Wayne,<null> ,42.384023,-83.055607,RRL,0,,,,0,,0,22.3,<null> 
-85.684083,42.9622670000001,362,2201505009,Fulton Place / Fulton and Seward,2015/05/13 00:00:00+00,Grand Rapids,"7, 9, 21, 29, 30, 33, 39 Lexington SW; 616, 632, 638, 644 W Fulton",Kent,<null> ,42.962267,-85.684083,381,648350,"$648,350 ",,,0,,0,0,<null> 
-88.45507,47.2259730000001,363,2201205008,Future Louie's Fresh Market and Retail Center,2012/05/14 00:00:00+00,Osecola Township,55800 U.S. Highway 41,Houghton,"31-009-280-019-00; 31-009-280-019-50",47.225973,-88.45507,381,388000,"$388,000 ",,,0,,0,4,Retail
-83.207647,42.3513520000001,364,2201109016,Gardenview Estates,2011/09/08 00:00:00+00,Detroit,"Joy Road, Tireman Avenue, and Asbury Park",Wayne,"Ward22, Item 002317-8",42.351352,-83.207647,381,5108467,"$5,108,467 ",,,0,,0,99.7,Residential
-85.291298,42.6491830000001,365,2201401002,"Geenen DeKock Group I, LLC",2014/01/27 00:00:00+00,Hastings,"301 West State Street, 126 North Broadway",Barry,"55-001-163-00, 55-001-193-00",42.649183,-85.291298,381,573650,"$573,650 ",,,0,,0,1.6,B2 - General Business District
-85.073589,42.9811950000001,366,2199910047,Gencorp Site Property,1999/10/28 00:00:00+00,Ionia,715 West Main Street,Ionia,"34-202-100-000-130-20, 202-100-000-071-00, 204-180-000-115-00",42.981195,-85.073589,381,24800,"$24,800 ",,,0,,0,0,General industrial
-85.291298,42.6491830000001,367,2201401001,Geneen-DeKock Group LLC Redevelopment Project,2014/01/24 00:00:00+00,Hastings,"301 West State Street, 126 N. Broadway",Barry,"55-001-163-00; 55-001-193-00",42.649183,-85.291298,381,175750,"$175,750 ",,,0,,0,1.6,B2 - General Business District
-84.559383,42.724428,368,2199906016,"General Motors property, Lansing",1999/06/07 00:00:00+00,Lansing,510 Olds Ave,INGHAM,<null> ,42.724428,-84.559383,SRG,1000000,,"$1,000,000 ",,0,,0,27,Industrial
-83.6998399999999,43.0323700000001,369,2200608023,Genesee Land Bank,2006/08/08 00:00:00+00,Flint,<null> ,GENESEE,<null> ,43.03237,-83.69984,"BRL,BRG",540000,,"$164,000 ","$376,000 ",0,,0,0,Commercial
-83.91586,43.4074800000001,370,2199702004,Genesee Street/Hess Ave.(St Mary's Med Center),1997/02/11 00:00:00+00,Saginaw,2800 E Genesee,SAGINAW,<null> ,43.40748,-83.91586,SAF,12500,,"$12,500 ",,0,,0,0,Commercial
-86.2261109999999,44.6180560000001,371,2201410034,Gilmore Township Hall,2014/10/29 00:00:00+00,Elberta,704 Frankfort Ave.,Benzie,<null> ,44.618056,-86.226111,<null> ,0,,,,0,Yes,0,0.13,Commercial
-83.143224,42.370322,372,2201808009,Give Merritt Community Park,2018/08/31 00:00:00+00,Detroit,10123 Grand River ,Wayne ,16.00497,42.370322,-83.143224,RPF,650000,,"$650,000 ",,,,,0.92,Community Park
-83.3963889999999,42.2852780000001,373,2199909038,Glenwood Dump,1999/09/08 00:00:00+00,Westland,SE corner Glenwood/CSX RR,Wayne,<null> ,42.285278,-83.396389,<null> ,0,,,,0,Yes,0,8.8,Park Expansion
-85.281736,42.340671,374,2199806015,Global Paint & Ink,1998/06/16 00:00:00+00,Battle Creek,74 Leonard Wood,CALHOUN,<null> ,42.340671,-85.281736,SAF,30000,,"$30,000 ",,0,,0,1,Industrial
-83.0272219999999,42.333333,375,2200404003,Globe Building,2004/04/19 00:00:00+00,Detroit,1801 Atwater St.,Wayne,<null> ,42.333333,-83.027222,<null> ,0,,,,0,Yes,0,1.3,Comm./Res.
-83.16619,42.22337,376,2199410012,Goddard & River Road,1994/10/18 00:00:00+00,Wyandotte,River Rd and Goddard Rd,WAYNE,<null> ,42.22337,-83.16619,SAF,65000,,"$65,000 ",,0,,0,0,Residential
-84.1579869999999,42.9889180000001,377,2199311007,"Gould Street Extension, Owosso",1993/11/24 00:00:00+00,Owosso,601 S Gould St,SHIAWASSEE,<null> ,42.988918,-84.157987,SRG,75000,,"$75,000 ",,0,,0,1,Commercial
-86.206508,43.0615050000001,378,2201808004,Grand Haven Ice Cream Shop - RPF SA,2018/08/31 00:00:00+00,Grand Haven,1453 Washington ,Ottawa,70-03-21-479-024,43.061505,-86.206508,"RPF, SAF",30000,,"$30,000 ",,,,,0.144,Ice cream shop
-86.2221269999999,43.068429,379,2200004011,Grand Haven Waterfront,2000/04/13 00:00:00+00,Grand Haven,Miller Dr,OTTAWA,<null> ,43.068429,-86.222127,WRG,880000,,,,880000,,0,0,Commercial/Residential
